  i            x            y
---  -----------  -----------
  0  1.000000000  0.000000000
  1  1.025000000  0.024692613
  2  1.050000000  0.048790164
  3  1.075000000  0.072320662
  4  1.100000000  0.095310180
  5  1.125000000  0.117783036
  6  1.150000000  0.139761943
  7  1.175000000  0.161268148
  8  1.200000000  0.182321557
  9  1.225000000  0.202940844
 10  1.250000000  0.223143552
 11  1.275000000  0.242946179
 12  1.300000000  0.262364265
 13  1.325000000  0.281412460
 14  1.350000000  0.300104593
 15  1.375000000  0.318453732
 16  1.400000000  0.336472237
 17  1.425000000  0.354171814
 18  1.450000000  0.371563557
 19  1.475000000  0.388657990
 20  1.500000000  0.405465109
 21  1.525000000  0.421994411
 22  1.550000000  0.438254932
 23  1.575000000  0.454255273
 24  1.600000000  0.470003630
 25  1.625000000  0.485507816
 26  1.650000000  0.500775289
 27  1.675000000  0.515813166
 28  1.700000000  0.530628252
 29  1.725000000  0.545227051
 30  1.750000000  0.559615789
 31  1.775000000  0.573800424
 32  1.800000000  0.587786666
 33  1.825000000  0.601579988
 34  1.850000000  0.615185640
 35  1.875000000  0.628608660
 36  1.900000000  0.641853887
 37  1.925000000  0.654925968
 38  1.950000000  0.667829373
 39  1.975000000  0.680568399
 40  2.000000000  0.693147181
