   i      x      y
 289  0.181  0.715
 290  0.181  0.717
 291  0.182  0.720
 292  0.182  0.722
 293  0.183  0.725
 294  0.184  0.727
 295  0.184  0.729
 296  0.185  0.732
 297  0.186  0.734
 298  0.186  0.737
 299  0.187  0.739
 300  0.188  0.741
 301  0.188  0.744
 302  0.189  0.746
 303  0.189  0.749
 304  0.190  0.751
 305  0.191  0.754
 306  0.191  0.756
 307  0.192  0.758
 308  0.193  0.761
 309  0.193  0.763
 310  0.194  0.766
 311  0.194  0.768
 312  0.195  0.770
 313  0.196  0.773
 314  0.196  0.775
 315  0.197  0.778
 316  0.198  0.780
 317  0.198  0.782
 318  0.199  0.785
 319  0.199  0.787
 320  0.200  0.790
 321  0.201  0.792
 322  0.201  0.794
 323  0.202  0.797
 324  0.203  0.799
 325  0.203  0.802
 326  0.204  0.804
 327  0.204  0.806
 328  0.205  0.809
 329  0.206  0.811
 330  0.206  0.814
 331  0.207  0.816
 332  0.208  0.818
 333  0.208  0.821
 334  0.209  0.823
 335  0.209  0.826
 336  0.210  0.828
 337  0.211  0.830
 338  0.211  0.833
 339  0.212  0.835
 340  0.212  0.838
 341  0.213  0.840
 342  0.214  0.842
 343  0.214  0.845
 344  0.215  0.847
 345  0.216  0.850
 346  0.216  0.852
 347  0.217  0.854
 348  0.217  0.857
 349  0.218  0.859
 350  0.219  0.861
 351  0.219  0.864
 352  0.220  0.866
 353  0.221  0.869
 354  0.221  0.871
 355  0.222  0.873
 356  0.223  0.876
 357  0.223  0.878
 358  0.224  0.881
 359  0.224  0.883
 360  0.225  0.885
 361  0.226  0.888
 362  0.226  0.890
 363  0.227  0.892
 364  0.228  0.895
 365  0.228  0.897
 366  0.229  0.900
 367  0.229  0.902
 368  0.230  0.904
 369  0.231  0.907
 370  0.231  0.909
 371  0.232  0.911
 372  0.233  0.914
 373  0.233  0.916
 374  0.234  0.919
 375  0.234  0.921
 376  0.235  0.923
 377  0.236  0.926
 378  0.236  0.928
 379  0.237  0.930
 380  0.238  0.933
 381  0.238  0.935
 382  0.239  0.938
 383  0.239  0.940
 384  0.240  0.942
 385  0.241  0.945
 386  0.241  0.947
 387  0.242  0.949
 388  0.242  0.952
 389  0.243  0.954
 390  0.244  0.956
 391  0.244  0.959
 392  0.245  0.961
 393  0.246  0.963
 394  0.246  0.966
 395  0.247  0.968
 396  0.247  0.971
 397  0.248  0.973
 398  0.249  0.975
 399  0.249  0.978
 400  0.250  0.980
 401  0.251  0.982
 402  0.251  0.985
 403  0.252  0.987
 404  0.253  0.989
 405  0.253  0.992
 406  0.254  0.994
 407  0.254  0.996
 408  0.255  0.999
 409  0.256  1.001
 410  0.256  1.003
 411  0.257  1.006
 412  0.258  1.008
 413  0.258  1.011
 414  0.259  1.013
 415  0.259  1.015
 416  0.260  1.018
 417  0.261  1.020
 418  0.261  1.022
 419  0.262  1.025
 420  0.263  1.027
 421  0.263  1.029
 422  0.264  1.032
 423  0.264  1.034
 424  0.265  1.036
 425  0.266  1.039
 426  0.266  1.041
 427  0.267  1.043
 428  0.268  1.046
 429  0.268  1.048
 430  0.269  1.050
 431  0.269  1.053
 432  0.270  1.055
 433  0.271  1.057
 434  0.271  1.060
 435  0.272  1.062
 436  0.273  1.064
 437  0.273  1.067
 438  0.274  1.069
 439  0.274  1.071
 440  0.275  1.074
 441  0.276  1.076
 442  0.276  1.078
 443  0.277  1.081
 444  0.278  1.083
 445  0.278  1.085
 446  0.279  1.087
 447  0.279  1.090
 448  0.280  1.092
 449  0.281  1.094
 450  0.281  1.097
 451  0.282  1.099
 452  0.283  1.101
 453  0.283  1.104
 454  0.284  1.106
 455  0.284  1.108
 456  0.285  1.111
 457  0.286  1.113
 458  0.286  1.115
 459  0.287  1.118
 460  0.288  1.120
 461  0.288  1.122
 462  0.289  1.125
 463  0.289  1.127
 464  0.290  1.129
 465  0.291  1.131
 466  0.291  1.134
 467  0.292  1.136
 468  0.292  1.138
 469  0.293  1.141
 470  0.294  1.143
 471  0.294  1.145
 472  0.295  1.148
 473  0.296  1.150
 474  0.296  1.152
 475  0.297  1.154
 476  0.297  1.157
 477  0.298  1.159
 478  0.299  1.161
 479  0.299  1.164
 480  0.300  1.166
 481  0.301  1.168
 482  0.301  1.171
 483  0.302  1.173
 484  0.302  1.175
 485  0.303  1.177
 486  0.304  1.180
 487  0.304  1.182
 488  0.305  1.184
 489  0.306  1.187
 490  0.306  1.189
 491  0.307  1.191
 492  0.307  1.193
 493  0.308  1.196
 494  0.309  1.198
 495  0.309  1.200
 496  0.310  1.203
 497  0.311  1.205
 498  0.311  1.207
 499  0.312  1.209
 500  0.312  1.212
 501  0.313  1.214
 502  0.314  1.216
 503  0.314  1.218
 504  0.315  1.221
 505  0.316  1.223
 506  0.316  1.225
 507  0.317  1.228
 508  0.318  1.230
 509  0.318  1.232
 510  0.319  1.234
 511  0.319  1.237
 512  0.320  1.239
 513  0.321  1.241
 514  0.321  1.243
 515  0.322  1.246
 516  0.323  1.248
 517  0.323  1.250
 518  0.324  1.253
 519  0.324  1.255
 520  0.325  1.257
 521  0.326  1.259
 522  0.326  1.262
 523  0.327  1.264
 524  0.328  1.266
 525  0.328  1.268
 526  0.329  1.271
 527  0.329  1.273
 528  0.330  1.275
 529  0.331  1.277
 530  0.331  1.280
 531  0.332  1.282
 532  0.333  1.284
