  i            x            y
---  -----------  -----------
  0  0.000000000  1.000000000
  1  0.012500000  1.012578452
  2  0.025000000  1.025315121
  3  0.037500000  1.038211997
  4  0.050000000  1.051271096
  5  0.062500000  1.064494459
  6  0.075000000  1.077884151
  7  0.087500000  1.091442264
  8  0.100000000  1.105170918
  9  0.112500000  1.119072257
 10  0.125000000  1.133148453
 11  0.137500000  1.147401706
 12  0.150000000  1.161834243
 13  0.162500000  1.176448318
 14  0.175000000  1.191246217
 15  0.187500000  1.206230249
 16  0.200000000  1.221402758
 17  0.212500000  1.236766114
 18  0.225000000  1.252322716
 19  0.237500000  1.268074997
 20  0.250000000  1.284025417
 21  0.262500000  1.300176468
 22  0.275000000  1.316530675
 23  0.287500000  1.333090592
 24  0.300000000  1.349858807
 25  0.312500000  1.366837941
 26  0.325000000  1.384030646
 27  0.337500000  1.401439608
 28  0.350000000  1.419067548
 29  0.362500000  1.436917221
 30  0.375000000  1.454991415
 31  0.387500000  1.473292954
 32  0.400000000  1.491824698
 33  0.412500000  1.510589542
 34  0.425000000  1.529590420
 35  0.437500000  1.548830298
 36  0.450000000  1.568312185
 37  0.462500000  1.588039124
 38  0.475000000  1.608014197
 39  0.487500000  1.628240526
 40  0.500000000  1.648721271
 41  0.512500000  1.669459631
 42  0.525000000  1.690458848
 43  0.537500000  1.711722203
 44  0.550000000  1.733253018
 45  0.562500000  1.755054657
 46  0.575000000  1.777130527
 47  0.587500000  1.799484077
 48  0.600000000  1.822118800
 49  0.612500000  1.845038233
 50  0.625000000  1.868245957
 51  0.637500000  1.891745598
 52  0.650000000  1.915540829
 53  0.662500000  1.939635366
 54  0.675000000  1.964032976
 55  0.687500000  1.988737469
 56  0.700000000  2.013752707
 57  0.712500000  2.039082598
 58  0.725000000  2.064731100
 59  0.737500000  2.090702220
 60  0.750000000  2.117000016
 61  0.762500000  2.143628598
 62  0.775000000  2.170592127
 63  0.787500000  2.197894815
 64  0.800000000  2.225540928
 65  0.812500000  2.253534787
 66  0.825000000  2.281880765
 67  0.837500000  2.310583292
 68  0.850000000  2.339646852
 69  0.862500000  2.369075986
 70  0.875000000  2.398875294
 71  0.887500000  2.429049430
 72  0.900000000  2.459603111
 73  0.912500000  2.490541109
 74  0.925000000  2.521868260
 75  0.937500000  2.553589458
 76  0.950000000  2.585709659
 77  0.962500000  2.618233882
 78  0.975000000  2.651167210
 79  0.987500000  2.684514789
 80  1.000000000  2.718281828

Time taken: 0.0006030000000000202 seconds
