  i        x        y
---  -------  -------
  0  1.00000  0.00000
  1  1.00625  0.00623
  2  1.01250  0.01242
  3  1.01875  0.01858
  4  1.02500  0.02469
  5  1.03125  0.03077
  6  1.03750  0.03681
  7  1.04375  0.04282
  8  1.05000  0.04879
  9  1.05625  0.05473
 10  1.06250  0.06062
 11  1.06875  0.06649
 12  1.07500  0.07232
 13  1.08125  0.07812
 14  1.08750  0.08388
 15  1.09375  0.08961
 16  1.10000  0.09531
 17  1.10625  0.10098
 18  1.11250  0.10661
 19  1.11875  0.11221
 20  1.12500  0.11778
 21  1.13125  0.12332
 22  1.13750  0.12883
 23  1.14375  0.13431
 24  1.15000  0.13976
 25  1.15625  0.14518
 26  1.16250  0.15057
 27  1.16875  0.15594
 28  1.17500  0.16127
 29  1.18125  0.16657
 30  1.18750  0.17185
 31  1.19375  0.17710
 32  1.20000  0.18232
 33  1.20625  0.18752
 34  1.21250  0.19269
 35  1.21875  0.19783
 36  1.22500  0.20294
 37  1.23125  0.20803
 38  1.23750  0.21309
 39  1.24375  0.21813
 40  1.25000  0.22314
 41  1.25625  0.22813
 42  1.26250  0.23310
 43  1.26875  0.23803
 44  1.27500  0.24295
 45  1.28125  0.24784
 46  1.28750  0.25270
 47  1.29375  0.25755
 48  1.30000  0.26237
 49  1.30625  0.26716
 50  1.31250  0.27194
 51  1.31875  0.27669
 52  1.32500  0.28141
 53  1.33125  0.28612
 54  1.33750  0.29080
 55  1.34375  0.29547
 56  1.35000  0.30011
 57  1.35625  0.30473
 58  1.36250  0.30932
 59  1.36875  0.31390
 60  1.37500  0.31846
 61  1.38125  0.32299
 62  1.38750  0.32751
 63  1.39375  0.33200
 64  1.40000  0.33647
 65  1.40625  0.34093
 66  1.41250  0.34536
 67  1.41875  0.34978
 68  1.42500  0.35417
 69  1.43125  0.35855
 70  1.43750  0.36291
 71  1.44375  0.36725
 72  1.45000  0.37157
 73  1.45625  0.37587
 74  1.46250  0.38015
 75  1.46875  0.38441
 76  1.47500  0.38866
 77  1.48125  0.39289
 78  1.48750  0.39710
 79  1.49375  0.40129
 80  1.50000  0.40547
 81  1.50625  0.40962
 82  1.51250  0.41377
 83  1.51875  0.41789
 84  1.52500  0.42200
 85  1.53125  0.42609
 86  1.53750  0.43016
 87  1.54375  0.43422
 88  1.55000  0.43826
 89  1.55625  0.44228
 90  1.56250  0.44629
 91  1.56875  0.45028
 92  1.57500  0.45426
 93  1.58125  0.45822
 94  1.58750  0.46216
 95  1.59375  0.46609
 96  1.60000  0.47001
 97  1.60625  0.47390
 98  1.61250  0.47779
 99  1.61875  0.48166
100  1.62500  0.48551
101  1.63125  0.48935
102  1.63750  0.49317
103  1.64375  0.49698
104  1.65000  0.50078
105  1.65625  0.50456
106  1.66250  0.50832
107  1.66875  0.51208
108  1.67500  0.51582
109  1.68125  0.51954
110  1.68750  0.52325
111  1.69375  0.52695
112  1.70000  0.53063
113  1.70625  0.53430
114  1.71250  0.53796
115  1.71875  0.54160
116  1.72500  0.54523
117  1.73125  0.54885
118  1.73750  0.55245
119  1.74375  0.55604
120  1.75000  0.55962
121  1.75625  0.56318
122  1.76250  0.56674
123  1.76875  0.57028
124  1.77500  0.57380
125  1.78125  0.57732
126  1.78750  0.58082
127  1.79375  0.58431
128  1.80000  0.58779
129  1.80625  0.59126
130  1.81250  0.59471
131  1.81875  0.59815
132  1.82500  0.60158
133  1.83125  0.60500
134  1.83750  0.60841
135  1.84375  0.61180
136  1.85000  0.61519
137  1.85625  0.61856
138  1.86250  0.62192
139  1.86875  0.62527
140  1.87500  0.62861
141  1.88125  0.63194
142  1.88750  0.63526
143  1.89375  0.63856
144  1.90000  0.64186
145  1.90625  0.64514
146  1.91250  0.64841
147  1.91875  0.65168
148  1.92500  0.65493
149  1.93125  0.65817
150  1.93750  0.66140
151  1.94375  0.66462
152  1.95000  0.66783
153  1.95625  0.67103
154  1.96250  0.67422
155  1.96875  0.67740
156  1.97500  0.68057
157  1.98125  0.68373
158  1.98750  0.68688
159  1.99375  0.69002
160  2.00000  0.69315

Time taken: 0.0006300000000000194 seconds
