  i      x      y
308  1.385  0.326
309  1.386  0.327
310  1.387  0.328
311  1.389  0.329
312  1.390  0.329
313  1.391  0.330
314  1.393  0.331
315  1.394  0.332
316  1.395  0.333
317  1.396  0.334
318  1.397  0.335
319  1.399  0.336
320  1.400  0.337
321  1.401  0.338
322  1.403  0.338
323  1.404  0.339
324  1.405  0.340
325  1.406  0.341
326  1.407  0.342
327  1.409  0.343
328  1.410  0.344
329  1.411  0.345
330  1.413  0.346
331  1.414  0.346
332  1.415  0.347
333  1.416  0.348
334  1.417  0.349
335  1.419  0.350
336  1.420  0.351
337  1.421  0.352
338  1.422  0.353
339  1.424  0.353
340  1.425  0.354
341  1.426  0.355
342  1.427  0.356
343  1.429  0.357
344  1.430  0.358
345  1.431  0.359
346  1.433  0.360
347  1.434  0.360
348  1.435  0.361
349  1.436  0.362
350  1.438  0.363
351  1.439  0.364
352  1.440  0.365
353  1.441  0.366
354  1.442  0.367
355  1.444  0.367
356  1.445  0.368
357  1.446  0.369
358  1.448  0.370
359  1.449  0.371
360  1.450  0.372
361  1.451  0.373
362  1.453  0.373
363  1.454  0.374
364  1.455  0.375
365  1.456  0.376
366  1.458  0.377
367  1.459  0.378
368  1.460  0.379
369  1.461  0.379
370  1.462  0.380
371  1.464  0.381
372  1.465  0.382
373  1.466  0.383
374  1.468  0.384
375  1.469  0.385
376  1.470  0.385
377  1.471  0.386
378  1.473  0.387
379  1.474  0.388
380  1.475  0.389
381  1.476  0.390
382  1.478  0.391
383  1.479  0.391
384  1.480  0.392
385  1.481  0.393
386  1.482  0.394
387  1.484  0.395
388  1.485  0.396
389  1.486  0.396
390  1.488  0.397
391  1.489  0.398
392  1.490  0.399
393  1.491  0.400
394  1.492  0.401
395  1.494  0.401
396  1.495  0.402
397  1.496  0.403
398  1.498  0.404
399  1.499  0.405
400  1.500  0.406
401  1.501  0.407
402  1.502  0.407
403  1.504  0.408
404  1.505  0.409
405  1.506  0.410
406  1.508  0.411
407  1.509  0.411
408  1.510  0.412
409  1.511  0.413
410  1.512  0.414
411  1.514  0.415
412  1.515  0.416
413  1.516  0.416
414  1.518  0.417
415  1.519  0.418
416  1.520  0.419
417  1.521  0.420
418  1.522  0.421
419  1.524  0.421
420  1.525  0.422
421  1.526  0.423
422  1.527  0.424
423  1.529  0.425
424  1.530  0.425
425  1.531  0.426
426  1.532  0.427
427  1.534  0.428
428  1.535  0.429
429  1.536  0.430
430  1.538  0.430
431  1.539  0.431
432  1.540  0.432
433  1.541  0.433
434  1.542  0.434
435  1.544  0.434
436  1.545  0.435
437  1.546  0.436
438  1.547  0.437
439  1.549  0.438
440  1.550  0.438
441  1.551  0.439
442  1.552  0.440
443  1.554  0.441
444  1.555  0.442
445  1.556  0.443
446  1.558  0.443
447  1.559  0.444
448  1.560  0.445
449  1.561  0.446
450  1.562  0.447
451  1.564  0.447
452  1.565  0.448
453  1.566  0.449
454  1.567  0.450
455  1.569  0.451
456  1.570  0.451
457  1.571  0.452
458  1.573  0.453
459  1.574  0.454
460  1.575  0.454
461  1.576  0.455
462  1.578  0.456
463  1.579  0.457
464  1.580  0.458
465  1.581  0.458
466  1.583  0.459
467  1.584  0.460
468  1.585  0.461
469  1.586  0.462
470  1.587  0.462
471  1.589  0.463
472  1.590  0.464
473  1.591  0.465
474  1.593  0.466
475  1.594  0.466
476  1.595  0.467
477  1.596  0.468
478  1.598  0.469
479  1.599  0.469
480  1.600  0.470
481  1.601  0.471
482  1.603  0.472
483  1.604  0.473
484  1.605  0.473
485  1.606  0.474
486  1.607  0.475
487  1.609  0.476
488  1.610  0.476
489  1.611  0.477
490  1.613  0.478
491  1.614  0.479
492  1.615  0.480
493  1.616  0.480
494  1.618  0.481
495  1.619  0.482
496  1.620  0.483
497  1.621  0.483
498  1.623  0.484
499  1.624  0.485
500  1.625  0.486
501  1.626  0.487
502  1.627  0.487
503  1.629  0.488
504  1.630  0.489
505  1.631  0.490
506  1.633  0.490
507  1.634  0.491
508  1.635  0.492
509  1.636  0.493
510  1.638  0.493
511  1.639  0.494
512  1.640  0.495
513  1.641  0.496
514  1.643  0.496
515  1.644  0.497
516  1.645  0.498
517  1.646  0.499
518  1.647  0.500
519  1.649  0.500
520  1.650  0.501
521  1.651  0.502
522  1.652  0.503
523  1.654  0.503
524  1.655  0.504
525  1.656  0.505
526  1.657  0.506
527  1.659  0.506
528  1.660  0.507
529  1.661  0.508
530  1.663  0.509
531  1.664  0.509
532  1.665  0.510
533  1.666  0.511
534  1.667  0.512
535  1.669  0.512
536  1.670  0.513
537  1.671  0.514
538  1.672  0.515
539  1.674  0.515
540  1.675  0.516
541  1.676  0.517
542  1.677  0.518
543  1.679  0.518
544  1.680  0.519
545  1.681  0.520
546  1.683  0.521
547  1.684  0.521
548  1.685  0.522
549  1.686  0.523
550  1.688  0.524
551  1.689  0.524
552  1.690  0.525
553  1.691  0.526
554  1.692  0.526
555  1.694  0.527
556  1.695  0.528
557  1.696  0.529
558  1.698  0.529
559  1.699  0.530
560  1.700  0.531
561  1.701  0.532
562  1.703  0.532
563  1.704  0.533
564  1.705  0.534
565  1.706  0.535
566  1.708  0.535
567  1.709  0.536
568  1.710  0.537
569  1.711  0.537
570  1.712  0.538
571  1.714  0.539
572  1.715  0.540
573  1.716  0.540
574  1.718  0.541
575  1.719  0.542
576  1.720  0.543
577  1.721  0.543
578  1.723  0.544
579  1.724  0.545
580  1.725  0.545
581  1.726  0.546
582  1.728  0.547
583  1.729  0.548
584  1.730  0.548
585  1.731  0.549
586  1.732  0.550
587  1.734  0.551
588  1.735  0.551
589  1.736  0.552
590  1.738  0.553
591  1.739  0.553
592  1.740  0.554
593  1.741  0.555
594  1.743  0.556
595  1.744  0.556
596  1.745  0.557
597  1.746  0.558
598  1.748  0.558
599  1.749  0.559
600  1.750  0.560
601  1.751  0.561
602  1.752  0.561
603  1.754  0.562
604  1.755  0.563
605  1.756  0.563
606  1.758  0.564
607  1.759  0.565
608  1.760  0.566
609  1.761  0.566
610  1.763  0.567
611  1.764  0.568
612  1.765  0.568
613  1.766  0.569
614  1.768  0.570
615  1.769  0.571
616  1.770  0.571
617  1.771  0.572
618  1.772  0.573
619  1.774  0.573
620  1.775  0.574
621  1.776  0.575
622  1.777  0.575
623  1.779  0.576
624  1.780  0.577
625  1.781  0.578
626  1.782  0.578
627  1.784  0.579
628  1.785  0.580
629  1.786  0.580
630  1.788  0.581
631  1.789  0.582
632  1.790  0.582
633  1.791  0.583
634  1.792  0.584
635  1.794  0.585
636  1.795  0.585
637  1.796  0.586
638  1.797  0.587
639  1.799  0.587
640  1.800  0.588
641  1.801  0.589
642  1.802  0.589
643  1.804  0.590
644  1.805  0.591
645  1.806  0.592
646  1.808  0.592
647  1.809  0.593
648  1.810  0.594
649  1.811  0.594
650  1.812  0.595
651  1.814  0.596
652  1.815  0.596
653  1.816  0.597
654  1.817  0.598
655  1.819  0.598
656  1.820  0.599
657  1.821  0.600
658  1.823  0.600
659  1.824  0.601
660  1.825  0.602
661  1.826  0.603
662  1.828  0.603
663  1.829  0.604
664  1.830  0.605
665  1.831  0.605
666  1.833  0.606
667  1.834  0.607
668  1.835  0.607
669  1.836  0.608
670  1.837  0.609
671  1.839  0.609
672  1.840  0.610
673  1.841  0.611
674  1.843  0.611
675  1.844  0.612
676  1.845  0.613
677  1.846  0.613
678  1.848  0.614
679  1.849  0.615
680  1.850  0.615
681  1.851  0.616
682  1.853  0.617
683  1.854  0.617
684  1.855  0.618
685  1.856  0.619
686  1.857  0.620
687  1.859  0.620
688  1.860  0.621
689  1.861  0.622
690  1.863  0.622
691  1.864  0.623
692  1.865  0.624
693  1.866  0.624
694  1.868  0.625
695  1.869  0.626
696  1.870  0.626
697  1.871  0.627
698  1.873  0.628
699  1.874  0.628
700  1.875  0.629
701  1.876  0.630
702  1.877  0.630
703  1.879  0.631
